canonical_name,appid
前哨站4,4271680
破晓之墟,4364910
战傀志,2458370
掠宝旅团,3091140
小小吸血姬,4838470
缴费与香烟,4255120
勇者和他的朋友,4910300
Pokerist 推出的电动扑克,4355310
像素机场大亨 3D,5016220
神魔孵化,4998370
苦涩情人节,3999750
乱世江山,4729340
国潮烤冷面传奇,3584920
Kiss And Cry：我的女友脑子有问题,4054420
慈爱疗愈～用催眠疗法治愈社畜宝宝的心吧～,4182640
梦之岛仲夏夜,4129770
一把菜刀打天下,4501680
生死狙击：无限,4141900
恶校游戏,3818020
柏拉图深空,3846480
沉没要塞的守夜人,4971240
不心动才有鬼,4855450
田游族谱,4885890
Snowed Under | 雪葬,4938200
遥远行星：建造师,3105960
自拍虫虫,4333980
颜色方块逃脱,4904840
魔剑王牌,4186640
混元灵印,3743730
王国大战僵尸,4799450
黑心装修队,3167920
沙金工业 Sandustry,2764460
怪物浪潮,4948670
绯红誓约-Crimson Covenant,3431400
荒古遗迹,4401140
沙威猫传奇：黑帮预制菜,3960830
急诊室模拟器,2438110
沙雕足球小游戏：盘带大师,4929930
放开那个喉结罩,4995920
红或黑：扑克杀,4416760
纵横麻将 Matrix Mahjong,3967760
女魔王大人假扮勇者,4986930
密林,4843300
IGS经典街机合集,3417140
放置王国：魔与兽的远征,4517960
无言战斗,4000170
Dinotica 恐龙小当家,3336520
芯链战线,3180830
放置之路：古神复苏,4243990
阴三国谋论: 徐州篇,3155310
今天开始做魅魔,3397100
AI2U: 与你直到世界尽头 ~ 我的病娇猫娘AI女友,2880730
冻土无声,4825420
不义转生,4216180
碎裂围城：破坏球防御战,4664900
挂机英雄传,4944020
彼岸的棕榈糖：只是一个印度故事,2778220
硬汉猫猫,4911030
51区安检站,4246860
生存日志,4164790
智探,4838780
山海镇妖·阴阳录,4986290
疯狂！迪尔与芒克的大冒险,4915120
我的傲娇妹妹 MY TSUNDERE SISTER,4622110
世界杯 无名小国的夺冠之路,4906860
三國鼎立Online Remastered,4770830
水下双雄,3736310
烽沙,1733690
鬼子母,4018740
肉鸽砖块,5000470
蛋蛋博弈论,4967180
[HERROR] 加油站案件,3902800
Sword & Shield Simulator (剑盾模拟器),2052650
臀臀有礼,4729260
帝国豪赌：奥古斯都的破碎王冠,4548050
秘境猎人,2282790
磐石守卫,4502710
秘奥回响,974480
群侠传：幸存者,4957110
盲行者 VR,4507690
符岩斗魂,3855600
像素单词农场,4986120
魔塔国度 -Tower Realm-,4550370
哪里漏电？,4972200
虚乐色,4895540
神姬传说:卡利亚,4710360
方块骑士Square Knight,4934080
多肉小憩,4536070
梦境回响,3226060
Wicked Little Witch 小小坏女巫,3809920
瓶裂,3982830
断神,3755930
仓鼠滚滚乐,4195910
River Devil/河牌恶魔,4942900
暗星铁律,1067360
我是洞洞王 Hole is Mine,4508020
霓虹弹珠,4812710
人类停车模拟器,758430
家族与帝国,4142610
功夫牌,3340780
武士打鬼,3791630
西班牙风味,4596230
掌舵人 BIZ Helmsman,4261850
天亮之后,4838500
爱丽丝与恶魔的牢狱,4145350
戳戳莉莉姆,4071500
风信来客,4947380
末世：我有一辆房车,4663300
疯狂派对,4706880
成语消消乐,4982020
专注魔法屋,4202710
琉光猫影,4669380
难道你是GAL高手,4513880
躲猫猫音乐盒,3434720
ACRODRIFT: FPV无人机模拟器,3698490
玩具店大整理！,4914830
灵魂•绝境防线,3607810
未了情书,4943130
中国式地雷女,3782080
奉魔,4172180
H·P超自然事件档案,3139670
日本事故物件監視協会3 -Japan Stigmatized Property-,4611990
三国群英传之英雄传奇,4897880
奥利珀斯的禁书,4466090
咒言战,4011300
破烂艺术家,3470550
蒂亚娜的钓鱼日记,4122170
战法道传奇,4757840
虚日无常,4835020
夺命飞鸽 Deadliest Pigeon,3687790
君王之塔,4113940
维修物语,3812600
梦塔比,3141630
漫威斗魂,3787240
铁巢重炮,2950790
阅骨者,4240080
角落的矿工,4255390
电脑进化史,2388970
爱与破坏之神,2505590
修仙模拟器,4972270
神之一手,3570110
多洛可小镇,2285550
娇萌五重奏,4776130
黑圣化:悟空,4832440
拆迁地球及爱情事故,3872710
同城游美女捕鱼,4864290
我不是魔王 I'm No Demonlord,3258560
炸鸡翅导致爱情火灾,3270550
灭寇1939：上川往事,4108460
我的悟空,4813540
小行星 M-12,4411770
赤鸟,1442520
Pokerist 推出的牌九扑克,4355320
青鬼2,4226580
超翼战骑艾斯提克,4078160
神与杀戮,4300870
魔神拼拼乐！,1398310
16号公路R,4307330
AI信仰：算力革命[>_AIFC],4266960
全境封锁曙光,3749720
猫猫乱捣蛋 Cat Chaos,3417940
海边的忘川亭,4243220
混乱世界,3718900
Huiyu 卧底画家,4976460
Huiyu 谁是卧底,4942230
树世界：云端庇护所,4777900
生计与沉冤,4958320
容器,3855650
猫猫跑酷,4917020
为了阻止最后的敌军舰队，出击！,4751020
黑夜轮回,2372240
吸吸弹弹大乱斗,3659090
杀死影子,2660230
放置恶魔,4393720
佣兵猎手,1843840
地狱仆从2 (HellSlave II),3399900
幻忆神域,4290250
小猫咪 BiuBiuBiu~,4944570
王冠统帅,4965900
西部枪手,4800290
赛博女修,4650490
轮回之兽,2001760
网络爬虫 NET.CRAWL,2958140
山仙酱的隐居小屋设计师+,4539420
Pulslink：守卫回路,4515950
鹰派大统领,3156330
无尽矿山,4540820
小小避风港,4886950
DottyBead闪闪拼豆,4599500
扭转大师,4853420
守护之心,4927750
我是校长,4916300
